"year","months","surv_not_published","cum_published","cum_published_lcl","cum_published_ucl"
"2010",6,0.888888888888889,0.111111111111111,0.0564852026831305,0.162574387771081
"2010",12,0.703703703703704,0.296296296296296,0.214896254584019,0.369256731358564
"2010",24,0.518518518518518,0.481481481481482,0.389958827700065,0.559273265060133
"2010",36,0.42962962962963,0.57037037037037,0.478199122667951,0.646260428691779
"2019",6,0.880184331797235,0.119815668202765,0.075529807149351,0.16198005740732
"2019",12,0.746543778801843,0.253456221198157,0.193277847792393,0.309145519132454
"2019",24,0.608294930875576,0.391705069124424,0.323164842844622,0.453304517330241
"2019",36,0.580645161290323,0.419354838709677,0.349844567613229,0.481433536451175
